proj[] = , 6053.0
proj[] = add, Activation, add, Dropout, add, Dense, add, Activation, , 115.0
proj[] = add, Dense, add, Activation, add, Dropout, add, Dense, , 114.0
proj[] = Dense, add, Activation, add, Dropout, add, Dense, add, , 112.0
proj[] = Conv2d, BatchNorm2d, ReLU, Conv2d, BatchNorm2d, ReLU, Conv2d, BatchNorm2d, , 103.0
proj[] = Sequential, Conv2d, BatchNorm2d, ReLU, Conv2d, BatchNorm2d, ReLU, Conv2d, , 99.0
proj[] = BatchNorm2d, ReLU, Conv2d, BatchNorm2d, ReLU, Conv2d, BatchNorm2d, Lambda, , 82.0
proj[] = Conv2d, BatchNorm2d, ReLU, Conv2d, BatchNorm2d, Lambda, LambdaReduce, ReLU, , 82.0
proj[] = LambdaMap, Sequential, Sequential, Conv2d, BatchNorm2d, ReLU, Conv2d, BatchNorm2d, , 82.0
proj[] = ReLU, Conv2d, BatchNorm2d, ReLU, Conv2d, BatchNorm2d, Lambda, LambdaReduce, , 82.0
proj[] = Sequential, LambdaMap, Sequential, Sequential, Conv2d, BatchNorm2d, ReLU, Conv2d, , 82.0
proj[] = Sequential, Sequential, Conv2d, BatchNorm2d, ReLU, Conv2d, BatchNorm2d, ReLU, , 82.0
proj[] = BatchNorm2d, ReLU, Conv2d, BatchNorm2d, Lambda, LambdaReduce, ReLU, Sequential, , 78.0
proj[] = add, Dense, add, Dropout, add, Dense, add, Dropout, , 78.0
proj[] = add, Dense, add, Dense, add, Dense, add, Dense, , 77.0
proj[] = add, Dense, add, Activation, add, Dense, add, Activation, , 76.0
proj[] = Dense, add, Dropout, add, Dense, add, Dropout, add, , 75.0
proj[] = add, Dropout, add, Dense, add, Dropout, add, Dense, , 75.0
proj[] = LambdaReduce, ReLU, Sequential, LambdaMap, Sequential, Sequential, Conv2d, BatchNorm2d, , 70.0
proj[] = ReLU, Sequential, LambdaMap, Sequential, Sequential, Conv2d, BatchNorm2d, ReLU, , 70.0
proj[] = compile, Sequential, add, Dense, add, Dense, add, Dense, , 68.0
proj[] = Conv2d, BatchNorm2d, Lambda, LambdaReduce, ReLU, Sequential, LambdaMap, Sequential, , 66.0
proj[] = ReLU, Conv2d, BatchNorm2d, Lambda, LambdaReduce, ReLU, Sequential, LambdaMap, , 66.0
proj[] = Sequential, add, Dense, add, Activation, add, Dropout, add, , 65.0
proj[] = Sequential, add, Dense, add, Dense, add, Dense, add, , 60.0
proj[] = print, print, random, random, random, random, Sequential, add, , 60.0
proj[] = reset, print, print, random, random, random, random, Sequential, , 60.0
proj[] = BatchNorm2d, Lambda, LambdaReduce, ReLU, Sequential, LambdaMap, Sequential, Sequential, , 58.0
proj[] = Lambda, LambdaReduce, ReLU, Sequential, LambdaMap, Sequential, Sequential, Conv2d, , 58.0
proj[] = zeros, predict, reshape, zeros, predict, reshape, fabs, fabs, , 57.0
proj[] = add, Convolution2D, add, ZeroPadding2D, add, Convolution2D, add, MaxPooling2D, , 55.0
proj[] = Convolution2D, add, ZeroPadding2D, add, Convolution2D, add, MaxPooling2D, add, , 54.0
proj[] = Dense, adam, compile, realpath, print, print, load_weights, print, , 54.0
proj[] = add, Dense, adam, compile, realpath, print, print, load_weights, , 54.0
proj[] = concatenate, zeros, predict, reshape, zeros, predict, reshape, zeros, , 52.0
proj[] = print, random, random, random, random, Sequential, add, Dense, , 52.0
